person_id,name,entity_type,related_film_count,has_wikipedia_text,intro_chars,wikitext_chars,source_url
Q107534502,吴胜旭,导演,1,True,35,4690,https://zh.wikipedia.org/wiki/%E5%90%B3%E5%8B%9D%E6%97%AD
Q311179,周星驰,导演,1,True,95,23660,https://zh.wikipedia.org/wiki/%E5%91%A8%E6%98%9F%E9%A6%B3
NAME:哈姆丹·比拉勒（Hamdan Ballal）,哈姆丹·比拉勒（Hamdan Ballal）,导演,1,False,0,0,
Q935646,哈维尔·根斯,导演,1,True,50,2668,https://zh.wikipedia.org/wiki/%E5%93%88%E7%B6%AD%E7%88%BE%C2%B7%E6%A0%B9%E6%96%AF
Q185783,唐季礼,导演,1,True,145,8083,https://zh.wikipedia.org/wiki/%E5%94%90%E5%AD%A3%E7%A6%AE
Q664001,土井裕泰,导演,1,True,30,2621,https://zh.wikipedia.org/wiki/%E5%9C%9F%E4%BA%95%E8%A3%95%E6%B3%B0
NAME:塔提瓦·皖他（Thaweewat Wanta）,塔提瓦·皖他（Thaweewat Wanta）,导演,1,False,0,0,
NAME:大卫·史托顿 David Stoten,大卫·史托顿 David Stoten,导演,1,False,0,0,
Q2296698,大卫·戈登·格林,导演,1,True,97,7163,https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%8D%AB%C2%B7%E6%88%88%E7%99%BB%C2%B7%E6%A0%BC%E6%9E%97
Q184903,大卫·芬奇,导演,9,True,174,16904,https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%8D%AB%C2%B7%E8%8A%AC%E5%A5%87
Q1091339,大卫·阿耶,导演,3,True,145,4533,https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%8D%AB%C2%B7%E9%98%BF%E8%80%B6
Q5236475,大卫·雷奇,导演,2,True,239,4561,https://zh.wikipedia.org/wiki/%E5%A4%A7%E8%A1%9B%C2%B7%E9%9B%B7%E5%A5%87
Q960885,大卫·麦肯齐 (导演),导演,1,True,179,3482,https://zh.wikipedia.org/wiki/%E5%A4%A7%E8%A1%9B%C2%B7%E9%BA%A5%E8%82%AF%E9%BD%8A_(%E5%B0%8E%E6%BC%94)
NAME:大庆,大庆,导演,1,False,0,0,
Q51489,奈特·沙马兰,导演,3,True,276,18990,https://zh.wikipedia.org/wiki/%E5%A5%88%E7%89%B9%C2%B7%E6%B2%99%E9%A9%AC%E5%85%B0
